Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Лупій,Олена,Андрійович,Жіноча,10/07/1965,Сценарист,місто Дебальцеве,"площа Черняховського, буд. 488 кв. 76, Сорокине, 72749",+380 82 104-64-43,les63@example.org
Артеменко,Любов,Олександрівна,Жіноча,15/05/2008,Пілот,селище Ізяслав,"провулок Гімназична, буд. 9 кв. 1, Чоп, 92184",959 06 49,gdzhus@example.com
Дзиндра,Орхип,Петрівна,Чоловіча,16/12/1987,Живописець,хутір Мелітополь,"узвіз Старицького, буд. 3, Дубляни, 67195",+380 74 045 30 48,trokhym65@example.org
Михайличенко,Христина,Петрівна,Жіноча,25/03/1993,Стропальник,селище Донецьк,"вулиця 1-й Академічний тупик, буд. 9 кв. 12, Попасна, 62074",+380 14 613-22-27,lishchenko@example.com
Малишко,Аркадій,Петрович,Чоловіча,22/07/1972,Бібліограф,хутір Золоте,"шосе 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 80 кв. 6, Кіцмань, 85413",+380 10 911-55-16,liudmyla12@example.org
Лазаренко,Єлисавета,Петрівна,Жіноча,27/04/1972,Дизайнер,село Антрацит ,"проспект Садовий, буд. 66 кв. 495, Кальміуське, 45886",+380 88 854-93-93,opanaskarpenko@example.org
Сомко,Розалія,Андріївна,Жіноча,21/07/1973,Співак,село Ізмаїл,"набережна Гранатна, буд. 4, Глобине, 75205",726 96 71,zlatoslava61@example.net
Джус,Єлисей,Іванович,Чоловіча,12/12/1991,Програміст,селище Новодружеськ,"вулиця Сергія Ядова, буд. 2 кв. 1, Зеленодольськ, 02440",596 45 35,varfolomii14@example.org
Франчук,Єфрем,Іванівна,Чоловіча,16/04/1979,Золотар,хутір Щастя ,"набережна Східчастий 4-й, буд. 18 кв. 3, Чорнобиль, 70223",056 280 07 13,utykhyi@example.com
Гречко,Марія,Андріївна,Жіноча,17/12/1956,Фотограф,хутір Кіцмань,"узвіз Лейтенанта Шмідта, буд. 31, Шпола, 52530",+380 18 386-62-58,anastasiiaarsenych@example.org
Верховинець,Дарина,Петрівна,Жіноча,03/09/1989,Пекар,хутір Хмільник,"площа Слобідський узвіз, буд. 96, Ковель, 94349",106-22-76,clytvynenko@example.com
Шинкаренко,Роксолана,Іванівна,Жіноча,31/01/1951,Режисер,хутір Бершадь,"проспект 3-тя Лінія Марії Демченко, буд. 6, Кілія, 50905",+380 15 259 64 40,elesyk@example.com
Ільєнко,Яків,Петрівна,Чоловіча,25/11/1950,Підприємець,селище Докучаєвськ,"провулок Виноградний, буд. 36 кв. 8, Галич, 27770",+380 10 417-82-81,pavlykrostyslav@example.org
Шиян,Ліза,Олексійович,Жіноча,22/01/1940,Стиліст,хутір Старий Крим,"вулиця Запорізька, буд. 642 кв. 0, Старокостянтинів, 10133",+380 82 956-82-95,lizalevchenko@example.net
Петренко,Галина,Олександрівна,Жіноча,27/08/1956,Дантист,хутір Глиняни,"площа Сухолиманна, буд. 665, Дубровиця, 78744",+380 (97) 525-56-21,lemeshkofrants@example.com
Забіла,Ганна,Олексійович,Жіноча,04/03/2004,Льотчик,хутір Подільськ,"набережна Михайла Жванецького, буд. 89 кв. 1, Борислав, 99272",095 759 11 56,ushelest@example.net
Бебешко,Альбіна,Петрівна,Жіноча,08/05/1967,Педагог,хутір Хорол ,"проспект Капітана Гаврікова, буд. 93, Ківерці, 91570",080 41 69,marta39@example.net
Шморгун,Ігнат,Василівна,Чоловіча,16/01/1956,Ботанік,хутір Галич,"проспект Троїцька, буд. 140, Торецьк, 58914",+380 26 838-31-59,petro90@example.com
Саєнко,Ірена,Іванівна,Жіноча,02/04/1944,Золотар,місто Мерефа,"проспект Василя Симоненка, буд. 2, Щастя , 94375",719 53 26,zzinchenko@example.org
Малишко,Вʼячеслав,Іванівна,Чоловіча,21/08/1988,Громадський діяч,село Калуш,"площа Ковалевського узвіз, буд. 23, Білогірськ, 83907",090 610 93 78,fomenkosviatoslava@example.net
Алексюк,Одарка,Андрійович,Жіноча,26/07/1976,Складальник,хутір Херсон,"площа Добровольського, буд. 96, Гуляйполе, 02780",+380 74 382-94-44,drobakhaoryna@example.net
Гоголь,Азар,Андрійович,Чоловіча,24/10/1954,Мінералог,хутір Хирів,"вулиця Шкільний, буд. 424, Великі Мости, 06167",048 676 25 19,svasylashko@example.org
Атрощенко,Амвросій,Іванович,Чоловіча,03/08/1982,Перекладач,селище Миргород,"узвіз Жолкова Бориса, буд. 116, Новий Розділ, 18201",418-39-12,bohuslavapiddubnyi@example.net
Яремко,Мілена,Іванович,Жіноча,25/02/2006,Клавішник,селище Золоте,"провулок Новощіпний ряд, буд. 80 кв. 71, Здолбунів, 02584",+380 (05) 314-57-87,rostyslav84@example.com
Абрагамовський,Анжела,Андрійович,Жіноча,12/05/1980,Інженер,село Славута,"шосе 1-ша Суворовська, буд. 952 кв. 51, Алмазна, 56633",+380 55 711 58 83,anastasiiaderkach@example.org
Копитко,Петро,Петрівна,Чоловіча,21/01/1942,Актор,хутір Рожище,"сквер Строганова, буд. 4, Дунаївці, 34728",+380 12 143-87-41,davyd83@example.org
Дубенко,Юстим,Васильович,Чоловіча,04/12/1983,Перекладач,село Канів,"набережна Іванова 2-й, буд. 1, Остер , 31731",335 13 32,lukiansyrotenko@example.net
Бевз,Людмила,Андріївна,Жіноча,03/02/1971,Бізнесмен,хутір Слов'янськ,"провулок Ляпідевського, буд. 219 кв. 56, Звенигородка, 89365",+380 29 198 99 30,valentyna97@example.org
Лазаренко,Симон,Іванівна,Чоловіча,07/11/1946,Хімік,село Коростень,"парк Ланжерон, буд. 522 кв. 303, Скадовськ, 53492",679 06 13,odarka61@example.net
Андрієвич,Лукʼян,Петрович,Чоловіча,19/01/1998,Водій,село Хмільник,"шосе Компасний, буд. 482 кв. 7, Переяслав, 99181",093 088-72-19,borys99@example.com
Товстуха,Назар,Петрівна,Чоловіча,25/06/1955,Фотограф,хутір Українськ,"узвіз Мічманський 1-й, буд. 23 кв. 9, Новодружеськ, 09020",006 178-39-05,myronandriishyn@example.org
Барабаш,Ада,Олександрівна,Жіноча,19/04/1954,Правник,хутір Вознесенівка,"сквер Єлисаветградський, буд. 976, Хуст, 26018",250-43-73,bohdannababiichuk@example.com
Бандура,Георгій,Андрійович,Чоловіча,29/01/1983,Паралегал,село Кіцмань,"набережна Цимлянська, буд. 09 кв. 808, Стрий, 99670",064 862 80 48,hlib30@example.org
Рубан,Олена,Іванівна,Жіноча,22/08/1980,Прокурор,селище Новий Розділ,"площа Об'їзна дорога, буд. 78 кв. 1, Хрустальний, 62077",+380 (03) 142-98-03,qsemenchenko@example.com
Артюшенко,Олена,Олександрівна,Жіноча,07/08/1949,Фрілансер,хутір Мена ,"узвіз Уманська, буд. 4, Новомосковськ, 01047",038 838 40 10,illiatkachenko@example.com
Байда,Онисим,Васильович,Чоловіча,24/08/2008,Бібліограф,хутір Остер ,"сквер Кренкеля, буд. 220, Ковель, 78428",+380 60 811-68-59,danchukrostyslav@example.org
Оніщук,Еріка,Петрович,Жіноча,26/09/1973,Провізор,місто Андрушівка,"узвіз Лінія 27-ма, буд. 69, Яремче, 28083",907-97-44,dakhnohavrylo@example.net
Цибуленко,Орися,Олександрівна,Жіноча,15/09/2001,Флорист,хутір Бориспіль,"сквер Матюшенка, буд. 50, Новоазовськ, 87130",076 962-68-27,ftverdokhlib@example.org
Алексюк,Дарина,Петрович,Жіноча,15/06/1950,Модель,селище Боково-Хрустальне,"проспект Багрицького, буд. 433, Переяслав, 82538",+380 75 941 08 50,pavlykleonid@example.org
Рябошапка,Пилип,Олександрівна,Чоловіча,24/10/1978,Няня,хутір Вараш,"шосе Учительський, буд. 41 кв. 3, Дубно, 25284",+380 61 097-34-11,tarasfilipenko@example.org
Пустовіт,Ярослава,Іванівна,Жіноча,10/04/1988,Бізнесмен,місто Болехів,"провулок Лінія 38-ма, буд. 15 кв. 29, Подільськ, 61274",+380 84 747-02-91,kalchenkodemian@example.org
Охримович,Данило,Олексійович,Чоловіча,23/02/2003,Фрілансер,місто Київ,"проспект Селищна, буд. 27, Бунге , 61365",024 347 67 17,ibarabash@example.org
Бабко,Михайлина,Васильович,Жіноча,18/05/2002,Ді-джей,селище Боково-Хрустальне,"шосе Іванівський переїзд, буд. 43 кв. 18, Нетішин, 22921",+380 64 091-91-45,rostyslav39@example.com
Ільченко,Оксана,Іванович,Жіноча,10/12/1996,Епідеміолог,село Острог,"набережна Французький, буд. 13, Пологи , 19169",+380 97 621 87 46,hnikoliuk@example.net
Запорожець,Вікторія,Олександрівна,Жіноча,17/11/1986,Сантехнік,місто Зеленодольськ,"сквер Різницький, буд. 05, Хирів, 24218",+380 95 611-61-94,albinaiemets@example.net
Швайка,Володимира,Іванівна,Жіноча,29/08/1959,Швачка,місто Маріуполь,"узвіз Київське, буд. 5 кв. 2, Бориспіль, 33183",+380 01 408 34 07,kalchenkofrants@example.net
Девдюк,Ада,Петрівна,Жіноча,26/09/1961,Агроном,село Хирів,"вулиця Мазепи Івана, буд. 00 кв. 7, Запоріжжя, 41702",+380 99 079-25-85,borys38@example.net
Якимчук,Демид,Олексійович,Чоловіча,17/03/1999,Реабілітолог,хутір Хрестівка,"проспект Райдужна, буд. 8 кв. 09, Бучач, 03568",080 810 18 75,khrystyna44@example.net
Іваничук,Аарон,Васильович,Чоловіча,05/04/1957,Дизайнер,селище Звенигородка,"площа Гвардійська, буд. 94 кв. 58, Підгайці, 27615",901 69 69,chumakiefrem@example.org
Демиденко,Еріка,Василівна,Жіноча,11/09/1981,Гицель,село Кагарлик,"проспект Марії Демченко, буд. 8 кв. 527, Новомиргород, 63759",004 070 64 56,pzaiets@example.org
Червоненко,Амвросій,Олександрівна,Чоловіча,22/05/1962,Випробувач,селище Українка ,"шосе Ляпунова, буд. 6, Сколе, 14777",050 891 03 69,dzhunpylyp@example.org
Швачко,Марʼяна,Василівна,Жіноча,18/02/1979,Прокурор,селище Красноград,"шосе Сергія Уточкіна, буд. 756, Яремче, 13371",898-23-41,demian56@example.net
Симоненко,Ілля,Петрович,Чоловіча,25/05/1942,Гінеколог,хутір Біляївка,"вулиця Довженка, буд. 5, Острог, 03625",+380 59 795-79-05,ntiahnybok@example.net
Черненко,Марта,Василівна,Жіноча,04/04/2004,Психолог,селище Судак ,"вулиця Наклонна, буд. 78 кв. 001, Боково-Хрустальне, 76966",078-28-51,romanenkoiaroslava@example.org
Василечко,Богданна,Петрівна,Жіноча,10/10/1996,Скульптор,місто Бориспіль,"проспект Привокзальна, буд. 1 кв. 6, Новий Калинів, 87772",+380 (01) 401-44-25,flubenets@example.org
Дейсун,Вадим,Василівна,Чоловіча,19/12/1963,Доцент,хутір Семенівка,"парк Овідіопольська, буд. 902 кв. 750, Березне, 87861",+380 (66) 259-47-28,iduplii@example.com
Оліфіренко,Симон,Петрович,Чоловіча,26/07/1956,Провізор,село Антрацит ,"узвіз Сирітський 2-й, буд. 455 кв. 51, Мелітополь, 75267",015 012-32-33,vavramchuk@example.org
Мамчур,Клавдія,Олександрівна,Жіноча,05/08/1994,Фотограф,місто Гірське,"проспект Харківська, буд. 8 кв. 3, Підгайці, 79774",+380 58 350 20 91,ktkach@example.net
Шеремета,Кирило,Петрівна,Чоловіча,11/07/2004,Економіст,хутір Перемишляни,"вулиця Нафтовиків 2-й, буд. 47, Полтава, 97887",043 263-61-81,jtsisyk@example.org
Цушко,Хома,Олександрівна,Чоловіча,25/09/1993,Бібліограф,селище Рудки,"шосе Венгера, буд. 78, Миронівка, 57174",003 554 74 97,lesonyshchenko@example.com
Захаренко,Герман,Васильович,Чоловіча,17/10/1984,Художник,місто Валки ,"шосе Східний, буд. 690, Кальміуське, 58698",+380 89 660-19-57,sviatoslavlutsenko@example.org
Данько,Леонтій,Олександрівна,Чоловіча,16/06/1967,Мікробіолог,селище Тлумач,"набережна Лінія 27-ма, буд. 661 кв. 842, Кагарлик, 82436",257 51 70,zlatoslavapelekh@example.org
Тимчук,Лариса,Олексійович,Жіноча,23/11/1950,Електрик,місто Кіцмань,"сквер Нафтовиків, буд. 358 кв. 883, Лубни, 67857",+380 54 798 62 00,marusia03@example.com
Бабко,Олег,Васильович,Чоловіча,27/11/1976,Електротехнік,місто Олешки,"проспект Херсонський сквер, буд. 88 кв. 49, Лутугине, 10171",071 751-40-29,ziemelianenko@example.org
Деркач,Златослава,Андріївна,Жіноча,23/01/1989,Нотаріус,хутір Буринь,"сквер Старокінний, буд. 4, Ровеньки, 24618",+380 33 240-43-44,rhuzii@example.com
Мазепа,Борислав,Петрович,Чоловіча,05/07/1947,Математик,місто Старобільськ,"парк Аеродромний 1-й, буд. 37, Ровеньки, 41003",074 336 53 86,oksanarudko@example.com
Шило,Богуслава,Андріївна,Жіноча,12/02/1940,Астронавт,хутір Перещепине,"набережна Злакова, буд. 82, Рудки, 10844",+380 85 734-36-12,leontiiisaievych@example.net
Тягнибок,Ярослава,Олександрівна,Жіноча,15/03/1951,Швачка,село Славута,"сквер Ялинковий, буд. 869, Лубни, 93445",+380 35 210-01-46,panteleimon14@example.org
Жаліло,Трохим,Петрівна,Чоловіча,23/07/1973,Лікар,хутір Березань ,"проспект Бригадна, буд. 1 кв. 0, Гірник , 07264",084 245-69-29,bdanylenko@example.com
Дробʼязко,Марина,Олександрівна,Жіноча,10/02/1994,Лікар,хутір Щолкіне,"провулок Ключовий 1-й, буд. 836, Угнів, 07461",+380 81 254 29 63,boleslav79@example.org
Кириленко,Єлисей,Олександрівна,Чоловіча,27/11/1990,Кінокритик,селище Карлівка,"парк Сурикова, буд. 7, Сулимівка (Слов'янськ), 54444",+380 96 622 21 76,fdemianenko@example.org
Франчук,Єлисавета,Олександрівна,Жіноча,13/04/1950,Кінорежисер,місто Глиняни,"узвіз Університетський, буд. 4, Святогірськ, 60052",982-19-98,symonenkoeduard@example.org
Яковенко,Ігнат,Олександрівна,Чоловіча,28/10/1942,Секретар,хутір Житомир,"сквер 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 6 кв. 97, Мала Виска, 81238",002 152-64-91,turkaloiaroslav@example.net
Закусило,Вʼячеслав,Василівна,Чоловіча,10/12/1967,Дизайнер,селище Підгородне,"узвіз Василя Симоненка, буд. 6, Зміїв, 85168",+380 (81) 995-54-81,qandreiko@example.net
Чуйко,Христина,Олексійович,Жіноча,07/06/2004,Медик,хутір Коломия,"провулок Байкал тупик, буд. 6, Первомайський , 34714",+380 93 328-52-63,ievacherednyk@example.net
Алексеєнко,Давид,Петрович,Чоловіча,16/11/2001,Краєзнавець,місто Ізяслав,"шосе Омська, буд. 21, Перещепине, 68894",+380 (52) 013-34-47,sychdanylo@example.net
Ґерета,Златослава,Василівна,Жіноча,08/03/1978,Гірник,місто Белз,"проспект Бузковий 1-й, буд. 232, Носівка, 64501",+380 (93) 315-55-82,verkhovynetsanton@example.com
Корпанюк,Віктор,Олексійович,Чоловіча,04/03/2000,Секретар,селище Бар,"узвіз Виїзна, буд. 9, Помічна, 33267",900 13 42,oliinykiarema@example.org
Дерегус,Максим,Василівна,Чоловіча,02/09/1967,Акушер,хутір Першотравенськ,"шосе Лузанівка, буд. 8 кв. 217, Сєвєродонецьк, 84440",+380 75 836 35 96,solomon71@example.org
Чуйко,Христина,Олексійович,Жіноча,22/06/1977,Дизайнер,місто Дніпрорудне,"площа Коцебу міст, буд. 0 кв. 7, Горохів, 62380",059 735 86 54,sirkoiakiv@example.net
Ткаченко,Лукʼян,Васильович,Чоловіча,29/09/2000,Мінералог,село Євпаторія,"вулиця 4-та Суворовська, буд. 07 кв. 23, Перемишляни, 85001",+380 48 636-00-78,liza76@example.org
Ярош,Єва,Петрівна,Жіноча,01/06/1946,Головний меркшейдер,хутір Тальне,"площа Липнева, буд. 20, Боярка, 66542",+380 95 036-08-62,ielysaveta44@example.net
Яремчук,Захар,Олексійович,Чоловіча,13/12/2006,Археолог,місто Бунге ,"провулок Чернівецький, буд. 583, Новомосковськ, 68897",+380 57 942 10 16,ozakharenko@example.org
Токар,Максим,Олександрівна,Чоловіча,09/09/1986,Ді-джей,село Судак ,"вулиця Онезька, буд. 74 кв. 397, Тернівка , 94311",045 241 01 90,ebakumenko@example.net
Рябець,Оксана,Олексійович,Жіноча,25/04/2005,Кінорежисер,хутір Покровськ,"вулиця Трамвайний, буд. 1 кв. 248, Українськ, 52549",+380 53 628-25-59,stepanlutsenko@example.com
Габелко,Юстим,Іванович,Чоловіча,30/08/1958,Доцент,місто Мена ,"проспект 11-та Суворовська, буд. 273, Теплодар, 44264",+380 93 405-15-06,iesypenkoerika@example.org
Шутько,Орина,Васильович,Жіноча,12/01/1949,Паралегал,село Приморськ (Україна),"парк Матроський узвіз, буд. 92 кв. 6, Хмільник, 39698",+380 36 021-95-90,vilchenko@example.org
Тарасенко,Венедикт,Олексійович,Чоловіча,10/03/1976,Візажист,місто Вишгород,"парк Регенсбург, буд. 4 кв. 5, Семенівка, 62008",+380 39 825-14-28,xdashenko@example.com
Охримович,Надія,Василівна,Жіноча,19/09/2008,Різноробочий,місто Корсунь-Шевченківський,"провулок Газова, буд. 29 кв. 39, Кілія, 44493",829-42-68,vanchenkosviatoslav@example.com
Носаченко,Давид,Петрович,Чоловіча,15/10/1955,Етнограф,хутір Подільськ,"сквер Люстдорфська дорога, буд. 6, Калинівка , 38506",034 406-04-01,orynabebeshko@example.org
Лаба,Віолетта,Іванівна,Жіноча,27/07/1947,Композитор,село Буськ,"площа Садовий, буд. 906 кв. 053, Старий Самбір, 86950",025 413 27 85,artem82@example.net
Тригуб,Роман,Петрович,Чоловіча,06/07/1987,Режисер,селище Сіверськ,"сквер Єрмака, буд. 257 кв. 648, П'ятихатки, 75793",064 954-03-32,hordiidrobiazko@example.org
Ящук,Федір,Петрович,Чоловіча,10/12/1958,Кухар,хутір Білгород-Дністровський,"шосе Лугова, буд. 379, Вінниця, 96506",+380 18 853 11 26,iarynafareniuk@example.com
Семенченко,Богуслава,Петрович,Жіноча,31/05/1954,Дизайнер,місто Боково-Хрустальне,"парк Нафтовиків, буд. 7 кв. 16, Павлоград, 36041",835-50-76,vadymrudko@example.net
Шинкаренко,Гліб,Андрійович,Чоловіча,01/08/1989,Антрополог,селище Южне,"сквер Квіткова, буд. 658, Хоростків, 74021",+380 87 152-71-53,batihtrokhym@example.net
Швачко,Миколай,Іванівна,Чоловіча,22/01/1947,Адвокат,хутір Надвірна,"сквер Олександра Невського 3-й, буд. 4, Помічна, 01861",023 789-45-60,liubovkorolenko@example.com
Павличенко,Любов,Іванович,Жіноча,26/06/1953,Сантехнік,селище Мостиська,"вулиця Естонська, буд. 936 кв. 2, Лутугине, 08564",004 227-47-71,iaremchukirena@example.org
Архипенко,Лариса,Василівна,Жіноча,29/09/1938,Антрополог,селище Богуслав,"сквер Успенська, буд. 848 кв. 85, Радехів, 11119",+380 90 305-79-39,iustynaderehus@example.net
Семенченко,Богданна,Олександрівна,Жіноча,11/08/1979,Астронавт,село Лебедин,"узвіз Вапняний 1-й, буд. 836 кв. 8, Кремінна, 52112",049 833 13 30,sviatoslav07@example.com
Дашенко,Орися,Петрівна,Жіноча,08/01/1966,Живописець,селище Коростишів,"узвіз Бориса Дерев'янка, буд. 620 кв. 567, Підгайці, 62335",+380 64 001 10 68,khrystynashablii@example.net
Аверченко,Дан,Петрівна,Чоловіча,29/05/1983,Мінералог,місто Батурин,"узвіз Лінія 32-га, буд. 50 кв. 1, Славута, 72682",554 77 58,viktoriiaviter@example.com
Дробаха,Гаврило,Петрівна,Чоловіча,09/08/1970,Хімік,місто Белз,"узвіз Лазурний 1-й, буд. 19 кв. 8, Херсон, 57593",+380 (78) 112-53-55,hlib28@example.com
Єременко,Лариса,Андріївна,Жіноча,11/12/1940,Епідеміолог,селище Чорнобиль,"сквер Ванцетті, буд. 52, Ладижин, 03838",209 03 97,yandriishyn@example.com
Батюк,Володимира,Василівна,Жіноча,09/07/1948,Кур'єр,місто Залізне,"провулок Історія Футболу, буд. 1, Острог, 65868",+380 42 967 12 66,emiliiashylo@example.org
Павличенко,Альбіна,Петрівна,Жіноча,08/01/1970,Програміст,селище Нікополь,"шосе Сергія Уточкіна, буд. 25 кв. 199, Ізмаїл, 40409",065 117-45-55,avdieienkoanita@example.net
Дубина,Захар,Василівна,Чоловіча,20/11/1937,Диригент,селище Рені,"набережна Морський 2-й, буд. 639, Бровари, 80973",887 28 41,alekseienkoavrelii@example.com
Жученко,Аліна,Василівна,Жіноча,25/08/1951,Інженер,місто Ладижин,"провулок Писарева, буд. 69 кв. 7, Тростянець, 34860",+380 (65) 489-85-15,kovpakparmen@example.com
Яремко,Тереза,Петрівна,Жіноча,09/12/1951,Актор,місто Нове Давидково,"узвіз Садовий, буд. 50 кв. 70, Кодима, 25467",+380 52 703-10-80,khmaravladyslav@example.com
Масоха,Давид,Олексійович,Чоловіча,06/04/1983,Науковець,хутір Чистякове,"проспект Пересипська 7-ма, буд. 2 кв. 425, Ужгород, 66090",+380 20 524-50-66,jperebyinis@example.net
Тичина,Соломон,Іванович,Чоловіча,01/07/1991,Євнух,місто Вишневе ,"провулок Дача Ковалевського, буд. 12 кв. 68, Суми, 62361",+380 79 577 94 45,semenriabets@example.net
Гаврилів,Федір,Іванівна,Чоловіча,19/07/1967,Геолог,селище Подільськ,"набережна Індійська, буд. 855 кв. 3, Часів Яр, 21351",+380 21 676-85-43,semen75@example.com
Шевченко,Августин,Іванівна,Чоловіча,21/07/1976,Електрослюсар,село Почаїв,"провулок Фруктовий, буд. 8, Чигирин, 42192",033 537 96 73,demyd16@example.org
Скорик,Феофан,Петрович,Чоловіча,17/03/1952,Геолог,хутір Тячів,"шосе Маловського, буд. 215 кв. 80, Дубляни, 16892",041 058 90 36,zorianlevchenko@example.com
Гузій,Михайло,Олександрівна,Чоловіча,21/06/1991,Клавішник,хутір Лутугине,"сквер Лінія 49-та, буд. 4, Берестечко, 90474",018 756 78 79,iakivnesterenko@example.net
Ейбоженко,Пармен,Петрівна,Чоловіча,01/09/1996,Клавішник,селище Каховка,"сквер Іцхака Рабіна, буд. 723, Славутич, 11424",505-94-49,bohdannaskyba@example.org
Скиба,Роман,Іванівна,Чоловіча,03/04/1979,Електромонтажник,селище Кам'янське,"парк Привокзальний, буд. 06, Славутич, 48725",798 41 97,alina56@example.net
Щириця,Олесь,Василівна,Чоловіча,25/03/1979,Вчитель,село Жовті Води,"провулок Морська, буд. 159, Новоазовськ, 60286",+380 95 249 33 29,mykhailyna26@example.org
Романець,Гаврило,Іванович,Чоловіча,19/10/1999,Кінокритик,хутір Голубівка,"набережна Бузковий 2-й, буд. 64 кв. 5, Біла Церква, 10716",088 247 65 30,khmaravasylyna@example.org
Андріїшин,Наталія,Андрійович,Жіноча,20/01/1995,Ботанік,місто Косів,"проспект Тираспольське, буд. 460, Іловайськ, 75489",047 924 18 72,vitalii46@example.com
